IDProducto,NombreProducto,Descripcion,Categoria,PrecioProducto
42,Adolfo Dominguez Agua Fresca Citrus Cedro Eau de Toilette (EDT) x 120ml,"Adolfo Dominguez Agua Fresca Citrus Cedro EDT x 120 Ml, Adolfo Dominguez, 120ml.",Perfumeria,78890
43,Adolfo Dominguez Agua Fresca De Rosas Blancas Edt X 120 Ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,78890
44,Adolfo Dominguez Fragancia Agua Fresca de Azahar Edt For Women 120 ml,"Adolfo Dominguez Agua Fresca de Azahar EDT x 120 Ml, Adolfo Dominguez, 120ml.",Perfumeria,78890
45,"Adolfo Dominguez Fragancia Agua Fresca Edt For Men 120 ml",Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"72890,01"
46,Amarillo Edp Shakira 50 ml,"Shakira Amarillo EDP x 50 Ml, Shakira, 50ml.",Perfumeria,"34545,01"
47,Armani Code Eau de Parfum x 125ml,"Armani Code EDP x 125 Ml, Armani, 125ml.",Perfumeria,359000
48,Bad Boy Carolina Herrera Cobalt EDP x 50ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,182100
49,Benetton Colors Blue Eau de Toilette (EDT) x 100ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,39500
50,Benetton Colors Rose Woman Intenso Edp Presentación 50 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,32400
51,Benetton Fragancia Colors Black Edt For Men 100 ml,"Benetton Colors Black EDT x 100 Ml, Benetton, 100ml.",Perfumeria,39500
52,Caro Cuore Fragancia Edt For Women 60 ml,"Caro Cuore EDT x 60 Ml, Caro Cuore, 60ml.",Perfumeria,"29619,1"
53,Carolina Herrera 212 Homme EDT For Men x 100 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,194400
54,Carolina Herrera 212 Vip Men Edt Presentación Fragancias x 100 ml,"CH 212 VIP Men EDT x 100 Ml, Carolina Herrera, 100ml.",Perfumeria,194400
55,"Carolina Herrera Bad Boy Dazzling Garden EDT x 100 ml","CH Bad Boy Dazzling Garden EDT x 100 Ml (Ed. Limitada), Carolina Herrera, 100ml.",Perfumeria,"211300,01"
56,Carolina Herrera Bad Boy Le Parfum Eau de Parfum x 50 ml,"CH Bad Boy Le Parfum EDP x 50 Ml, Carolina Herrera, 50ml.",Perfumeria,194500
57,Carolina Herrera Fragancia 212 Vip Black Edp For Men 100 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"200249,99"
58,Carolina Herrera Fragancia Bad Boy Edt For Men x 100 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"211300,01"
59,Carolina Herrera Fragancia Good Girl Edp For Women 30 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,164000
60,Carolina Herrera Good Girl Dazzling Garden Edp Ed. Limitada Presentación Fragancias 80 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"257800,02"
61,Cher Dieciocho Elixir Parfum x 50 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,33690
62,Cher Fragancia Dieciocho Edp For Women 100 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"41990,01"
63,Cher Fragancia Unisex Mix We Matter Edt 75 ml,"Cher Mix We Matter EDT x 75 Ml, Cher, 75ml.",Perfumeria,"35990,01"
64,Chester Colonia For Men 170 ml,"Chester Colonia For Men x 170 Ml, Chester, 170ml.",Perfumeria,"11714,09"
65,Ciel Colonia Noir For Women 250 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"11895,71"
66,Ciel Fragancia Crystal Edt For Women 50 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"20689,31"
67,Ciel Fragancia Magic Edp For Woman 50 ml,"Ciel Magic EDP x 50 Ml, Ciel, 50ml.",Perfumeria,"20689,31"
68,Ciel Fragancia Noir Edt For Women 50 ml,"Ciel Noir EDT x 50 Ml, Ciel, 50ml.",Perfumeria,"21010,14"
69,Ciel Fragancia Original Edt For Women 80 ml,Tascani Singular Eau de Parfum (EDP) x 100ml,Perfumeria,"19492,03"
70,Cocot In Love Body Splash x 125 ml,"Cocot In Love Body Splash x 125 Ml, Cocot, 125ml.",Perfumeria,"11500,01"
71,Colbert Fragancia Acqua Edt For Men 100 ml,"Colbert Acqua EDT x 100 Ml, Colbert, 100ml.",Perfumeria,"19165,29"
72,Colbert Fragancia Pino Edt For Men 60 ml,"Colbert Pino EDT x 60 Ml, Colbert, 60ml.",Perfumeria,"11651,64"
73,Colbert Fragancia Us For Men 60 ml,"Colbert US EDT x 60 Ml, Colbert, 60ml.",Perfumeria,"14047,29"
74,Colonia Ciel Crystal x 250 ML,"Ciel Colonia Crystal For Women x 250 Ml, Ciel, 250ml.",Perfumeria,"11532,48"
75,Colonia Kevingston Rugby For Men 100 ml,"Colonia Kevingston Rugby For Men x 100 Ml, Kevingston, 100ml.",Perfumeria,"17900,01"
76,Colonia Pibes x 90ml,"Colonia Pibes x 90 Ml, Pibes, 90ml.",Perfumeria,2647095
77,Crandal Colonia For Men x 95 ml,"Crandal Colonia For Men x 95 Ml, Crandal, 95ml.",Perfumeria,"10133,36"
78,Danielle Fragancia Girl Edt Con Vaporizador 100 ml,"Danielle Girl EDT x 100 Ml con Vaporizador, Danielle, 100ml.",Perfumeria,"15548,55"
79,Danielle Fragancia Jolie Edt Pour Babies,"Danielle Jolie EDT Pour Babies x 100 Ml, Danielle, 100ml.",Perfumeria,"9255,97"
80,"Davidoff Cool Water Eau de Toilette (EDT) x 125ml","Davidoff Cool Water EDT x 125 Ml, Davidoff, 125ml.",Perfumeria,"184337,81"
81,Davidoff Cool Water Edt x 75 ml,"Davidoff Cool Water EDT x 75 Ml, Davidoff, 75ml.",Perfumeria,130680
82,Dolce & Gabbana Fragancia Light Blue Edt For Men 125 ml,"Dolce & Gabbana Light Blue Pour Homme EDT x 125 Ml, Dolce & Gabbana, 125ml.",Perfumeria,"192000,01"
83,EDP Adolfo Dominguez Iris Vainilla x 60ml,"Adolfo Dominguez Iris Vainilla EDP x 60 Ml, Adolfo Dominguez, 60ml.",Perfumeria,"70750,69"
84,EDP Adolfo Dominguez Vetiver Terra x 120 ml,"Adolfo Dominguez Vetiver Terra EDP x 120 Ml, Adolfo Dominguez, 120ml.",Perfumeria,82010
85,"EDP Armani Because Its You For Woman X 100 ml","Emporio Armani Because It's You EDP x 100 Ml, Giorgio Armani, 100ml.",Perfumeria,"299000,01"
86,EDP Armani Code x 75 Ml,"Giorgio Armani Code For Men EDP x 75 Ml, Giorgio Armani, 75ml.",Perfumeria,"264999,99"
87,EDP Armani Si Passione For Women x 50 ml,"Giorgio Armani Sì Passione EDP x 50 Ml, Giorgio Armani, 50ml.",Perfumeria,"249999,99"
88,EDP Benetton Black Intenso x 100 Ml,"Benetton United Dreams Black Intenso EDP x 100 Ml, Benetton, 100ml.",Perfumeria,40900
89,EDP Bensimon Blue Night Extreme x 100 ml,"Bensimon Blue Night Extreme EDP x 100 Ml, Bensimon, 100ml.",Perfumeria,"45990,02"
90,EDP Calvin Klein Eternity For Woman X 100 ml,"Calvin Klein Eternity For Women EDP x 100 Ml, Calvin Klein, 100ml.",Perfumeria,"233309,98"
91,EDP Carolina Herrera 212 Heroes For Her x 80 ml,"Carolina Herrera 212 Heroes For Her EDP x 80 Ml, Carolina Herrera, 80ml.",Perfumeria,243600
